Date,Open,High,Low,Close,Adj Close,Volume
2016-11-01,null,null,null,null,null,null
2016-12-01,16.000000,16.350000,14.010000,14.870000,14.870000,785062700
2017-01-01,14.640000,16.430000,14.600000,15.020000,15.020000,651404800
2017-02-01,15.260000,16.230000,14.270000,15.180000,15.180000,676667100
2017-03-01,15.510000,15.550000,12.820000,14.490000,14.490000,920813400
2017-04-01,14.540000,15.160000,13.550000,13.970000,13.970000,662858400
2017-05-01,13.970000,15.870000,12.450000,12.960000,12.960000,1041819300
2017-06-01,13.160000,13.340000,11.590000,12.370000,12.370000,858615900
2017-07-01,12.280000,13.350000,11.740000,13.290000,13.290000,685724000
2017-08-01,13.300000,14.030000,12.910000,13.650000,13.650000,894388700
2017-09-01,13.850000,15.960000,13.820000,15.300000,15.300000,873230800
2017-10-01,15.190000,17.170000,15.060000,16.770000,16.770000,802329100
2017-11-01,16.990000,17.100000,16.680000,16.940001,16.940001,71482000
